outcome,L,peak,dur,mean_eta,sharp
1,186.93645628090587,6.698852646168753,27.794374336371174,5.938175750216976,2.3777963864058416
0,0.0,3.5543447876717638,18.99278760275743,3.3781814625809496,0.6766923902240611
1,289.53405324932976,5.493682871302796,52.703088263897364,5.42321981113087,0.4885990765207483
1,217.43083386106758,6.987472795306721,31.116117642904094,6.376093305677154,1.9848288659082476
0,0.0,3.080805356816829,11.002195683265933,2.693167493165914,2.9212841527659923
1,406.97757743847666,5.128157317932436,79.36242196456857,5.025962091947684,1.14514679321005
0,0.0,1.825405320356202,8.17623717926724,1.5693517824112568,1.755078578945577
0,0.0,2.8068563492890886,29.59314575981046,2.752489637987594,0.41113844058239934
0,6.370398747856737,4.39968864228266,20.186090867712345,4.018545067198247,1.266506982173161
1,323.97386081833696,8.607021495498067,37.64064721840184,8.315681249451625,0.9326995976645297
1,378.35651870570445,4.917285264333467,77.056222929158,4.675608741662452,2.7339944496049213
0,1.8535532578371507,5.553200238859196,7.094941261827053,4.738998473456038,0.9698966116596862
0,4.207567677821788,5.4920723537497205,12.533213319346011,5.0041964921197355,0.8049839969448205
0,17.97286811705265,6.135563877716473,11.490460280004687,5.2688261541170975,2.4694193570625895
0,7.796272916403204,6.4180940707676255,12.5285519302944,5.6927505321691365,1.0767957737580904
1,362.2751737418328,6.828370134547661,53.05447689578558,6.516585679689307,1.7489283049418853
0,6.313038465880774,5.788674914553197,14.681078817341401,4.930434404377971,2.201986519939968
0,1.9996383399653037,4.2593670028210795,18.27918332502353,4.098275125393419,0.49178576310775407
1,286.2276452668898,4.091766325625679,69.95572457068002,3.9746285028516306,1.446580384102599
1,280.09687705362944,7.332358417996085,38.2035851906664,7.088214221889388,0.9188429183152699
1,570.7301123085367,7.899530275436626,72.24861431655864,7.713998647637682,1.223573217350221
0,11.80961036206328,6.4987534629433155,12.238664474298382,6.125615683370699,0.5193013407090663
0,0.0,2.1589953852924095,43.34415862783506,2.0407539447184533,1.7106717077776308
0,37.04132878258352,7.863476874939767,14.372575870534732,7.256262761942476,0.7944738254618815
1,338.1437760184436,5.660608580702021,59.737259592460404,5.412924773319676,1.8977517941668705
0,7.251700293340413,4.018661700496623,57.38631934217371,3.9319913308042853,0.9052830009663382
0,14.062734963510817,6.988355295360455,9.271161583917932,5.936165028984904,1.514827557611397
0,0.0,3.4269843143426897,6.375210344459566,3.016962642813331,1.8041774532754453
1,332.110265000412,6.120662067360811,54.26052603154265,5.988302249358329,0.8500240040957672
1,254.632524063331,6.378319809565821,39.90425944436156,5.800681753411821,2.6350034351714235
0,0.0,4.514452742107751,58.99735958929814,4.379803363578163,1.2684294887471634
0,0.0,2.482419805196714,65.54409707320679,2.38734661285199,1.8087984796153562
0,16.049285909787056,5.8443630390574866,24.378402308800215,5.195836143834798,2.0201562644676176
0,0.0,1.9329029690371267,78.55820776611432,1.8404906427276706,2.7120271653296757
0,0.0,4.2073294933911285,20.204240197187477,3.5981037743362116,2.6595293686353454
1,261.6406931340214,5.9519259760032845,43.96012779528159,5.735658594163455,1.155611727824171
1,447.4797504471881,6.032329755242643,74.1802535014635,5.946846896630563,0.7688588530050602
0,15.1866113662416,5.486409860784365,19.146989531025525,4.789232755457941,1.9166499384775384
1,289.5312424685676,5.279262662306702,54.84415844017005,5.125177077270049,1.15272656934243
0,3.9137398155634417,5.183764448302517,23.476677539589147,4.542686183718428,2.268531668820897
1,205.97904784000167,4.804677656221923,42.88713027772963,4.393003746177421,2.6807597008548267
1,434.9741581515969,5.484831082125809,79.30493256562863,5.4393850476386305,0.47567370713775414
0,4.621424453055009,4.691887552745032,17.104841042508788,4.330522418207525,0.9547471507539151
0,0.0,2.852517855091469,28.87411611450223,2.757855870285479,0.6824891179041087
0,0.868631218592234,3.9814349619409124,15.330658088190745,3.426244468792447,1.8089694068433402
0,11.36096101562579,5.891751307522441,34.25340495658931,5.480433682475547,1.7283063881829714
0,0.0,4.247938108526035,59.8443741433441,4.142636069914301,1.0681501708817054
1,329.6819191413295,9.122852757080832,36.1181394291076,8.284850629106007,2.426245924947108
0,0.0,4.571544557068124,43.72550150835113,4.185778241898082,2.670315860259187
1,596.1332891047466,8.061056696806936,73.95287248118338,7.8765088003888515,1.222301481896932
1,344.0589308412615,4.521323383495462,76.09695251996496,4.481861086616689,0.4780916055813456
0,0.0,3.9880258541289737,42.27731141106926,3.9201423309341945,0.5286270433553649
0,12.573233308946557,4.857795827371434,27.852508740967288,4.390038017976448,1.9657512397270724
1,361.0360408566782,7.564648175658048,47.726745841078184,7.471595549917387,0.4153378409167733
0,0.0,3.117437639744817,70.23708317143596,2.988177518918782,2.0965135116940945
1,403.19086343132324,5.59124323560477,72.11112937135326,5.52364249376757,0.6151738083302437
0,0.0,2.107530066191428,16.059750474657342,1.827767830161103,1.7349285187146353
1,301.89698437791844,4.358708022309379,69.26295196482661,4.310828389361203,0.5534004353343832
